Your answer to the quiz are:
By what initials was Franklin Roosevelt better known?,e,wrong
Which number president was Franklin Roosevelt?,32,right
Which state was Franklin Roosevelt born in?,e,wrong
In which year did Roosevelt become Governor of New York?,e,wrong
What was the name of Franklin Roosevelt's wife?,e,wrong
How many children did Franklin Roosevelt have?,e,wrong
From which university did Franklin Roosevelt graduate with an A.B in history?,e,wrong
What was the first name of Franklin Roosevelt's 5th cousin, who was also President?,e,wrong
Which disease is believed to be the causes of Franklin Roosevelt's paralysis?,e,wrong
At what age did Franklin Roosevelt die?,e,wrong

Result: 
Total number of questions, 10,correntness,10.0%

